name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"35.9,120.1",2022-11-28T00:00:00,60.7,60.7,58.9,93.79,0,0,,0,0,12.1,6.7,160,1011,100,6.2,0,,0,10,Overcast,cloudy,ZSQD
"35.9,120.1",2022-11-28T01:00:00,60.7,60.7,58.9,93.79,0,0,,0,0,8.5,11.2,150,1010,50,4.3,0,,0,10,Partially cloudy,partly-cloudy-night,ZSQD
"35.9,120.1",2022-11-28T02:00:00,60.7,60.7,58.9,93.79,0,0,,0,0,11.6,11.2,150,1010,100,4.3,0,,0,10,Overcast,cloudy,ZSQD
"35.9,120.1",2022-11-28T03:00:00,58.9,58.9,58.9,100,0,0,,0,0,15.4,4.5,200,1011,50,4.3,0,,0,3,Partially cloudy,partly-cloudy-night,ZSQD
"35.9,120.1",2022-11-28T04:00:00,57.1,57.1,57.1,100,0,0,,0,0,6,2.2,180,1010,88,3.1,0,,0,10,Partially cloudy,partly-cloudy-night,ZSQD
"35.9,120.1",2022-11-28T05:00:00,57.1,57.1,57.1,100,0,0,,0,0,11,4.5,150,1010,88,3.1,0,,0,10,Partially cloudy,partly-cloudy-night,ZSQD
"35.9,120.1",2022-11-28T06:00:00,57.1,57.1,57.1,100,0,0,,0,0,3.1,2.2,180,1010,88,3.1,0,,0,10,Partially cloudy,partly-cloudy-night,ZSQD
"35.9,120.1",2022-11-28T07:00:00,57.1,57.1,57.1,100,0,0,,0,0,1.8,2.2,160,1010,88,1.9,0,,0,10,Partially cloudy,partly-cloudy-day,ZSQD
"35.9,120.1",2022-11-28T08:00:00,58.9,58.9,58.9,100,0,0,,0,0,5.1,6.7,330,1011,88,1.2,28,0.1,0,10,Partially cloudy,partly-cloudy-day,ZSQD
"35.9,120.1",2022-11-28T09:00:00,56.7,56.7,54.9,93.69,0.004,100,rain,0,0,4.3,3.4,336.9,1011,100,13.5,12,0,0,10,"Rain, Overcast",rain,
"35.9,120.1",2022-11-28T10:00:00,56.7,56.7,55.1,94.3,0.008,100,rain,0,0,10.7,7.8,307.6,1012,100,9.4,21,0.1,0,10,"Rain, Overcast",rain,
"35.9,120.1",2022-11-28T11:00:00,54.2,54.2,52.6,94.24,0.047,100,rain,0,0,15.9,10.5,316.4,1012,100,2.5,10,0,0,10,"Rain, Overcast",rain,
"35.9,120.1",2022-11-28T12:00:00,52.6,52.6,51.3,95.46,0.11,100,rain,0,0,15.9,10.1,318.8,1012,100,3,4,0,0,10,"Rain, Overcast",rain,
"35.9,120.1",2022-11-28T13:00:00,52.4,52.4,50.8,94.2,0.071,100,rain,0,0,22.1,11.9,326.9,1012,100,15,5,0,0,10,"Rain, Overcast",rain,
"35.9,120.1",2022-11-28T14:00:00,52.4,52.4,50.4,92.95,0.016,100,rain,0,0,22.1,11.6,325.4,1012,100,7,26,0.1,0,10,"Rain, Overcast",rain,
"35.9,120.1",2022-11-28T15:00:00,52.1,52.1,50.3,93.56,0.031,57.1,rain,0,0,24.6,13.4,335.7,1012,100,15,4,0,0,10,"Rain, Overcast",rain,
"35.9,120.1",2022-11-28T16:00:00,52.1,52.1,49.5,91.09,0.004,57.1,rain,0,0,28,14.5,343.6,1013,100,15,7,0,0,10,"Rain, Overcast",rain,
"35.9,120.1",2022-11-28T17:00:00,50.6,50.6,47.4,88.61,0,57.1,rain,0,0,31.3,17.9,339.1,1014,100,15,7,0,0,10,"Rain, Overcast",rain,
"35.9,120.1",2022-11-28T18:00:00,48.6,42,44.9,86.72,0,57.1,rain,0,0,34.7,19.2,348.8,1016,100,15,0,,0,10,"Rain, Overcast",rain,
"35.9,120.1",2022-11-28T19:00:00,48.1,41.9,44,85.51,0,57.1,rain,0,0,34.9,16.3,358.7,1016,100,15,0,,0,10,"Rain, Overcast",rain,
"35.9,120.1",2022-11-28T20:00:00,47.6,41.3,43.1,84.3,0,57.1,rain,0,0,32.4,16.1,348.4,1017,100,15,0,,0,10,"Rain, Overcast",rain,
"35.9,120.1",2022-11-28T21:00:00,47,40.2,42.5,84.27,0,4.8,,0,0,32.4,17.7,346.9,1018,100,15,0,,0,10,Overcast,cloudy,
"35.9,120.1",2022-11-28T22:00:00,46.8,40.7,41.8,82.52,0,4.8,,0,0,31.3,14.8,358.9,1017,100,15,0,,0,10,Overcast,cloudy,
"35.9,120.1",2022-11-28T23:00:00,46.5,40.3,40.9,80.79,0,4.8,,0,0,32.4,14.3,347.9,1019,100,15,0,,0,10,Overcast,cloudy,
"35.9,120.1",2022-11-29T00:00:00,46.1,39.6,40.4,80.21,0,4.8,,0,0,34.7,15.4,358.9,1018,100,15,0,,0,10,Overcast,cloudy,
"35.9,120.1",2022-11-29T01:00:00,45.9,39.3,40.2,80.19,0,4.8,,0,0,32.4,15.7,353.1,1020,100,15,0,,0,10,Overcast,cloudy,
"35.9,120.1",2022-11-29T02:00:00,45.9,39.4,40.5,81.32,0,4.8,,0,0,30.2,15.2,349.1,1021,100,15,0,,0,10,Overcast,cloudy,
"35.9,120.1",2022-11-29T03:00:00,45.8,39.4,40.7,82.45,0,4.8,rain,0,0,28.2,14.5,353.1,1020,100,15,0,,0,10,Overcast,cloudy,
"35.9,120.1",2022-11-29T04:00:00,45.8,38.6,39.6,79.06,0.004,4.8,rain,0,0,29.3,17.7,349.2,1021,100,15,0,,0,10,Overcast,cloudy,
"35.9,120.1",2022-11-29T05:00:00,41.8,32.1,29,60.23,0,4.8,,0,0,34,23.3,350.9,1023,100,15,0,,0,10,Overcast,cloudy,
"35.9,120.1",2022-11-29T06:00:00,38.9,28.5,23.4,53.46,0,4.8,,0,0,33.6,22.4,350.6,1025,100,15,0,,0,10,Overcast,cloudy,
"35.9,120.1",2022-11-29T07:00:00,36.9,26.2,22,54.39,0,4.8,,0,0,35.3,21.3,348.2,1025,97.9,15,0,,0,10,Overcast,cloudy,
"35.9,120.1",2022-11-29T08:00:00,36.8,26.2,22,54.77,0,4.8,,0,0,31.5,20.4,347.1,1027,100,15,50,0.2,1,10,Overcast,cloudy,
"35.9,120.1",2022-11-29T09:00:00,37.7,27.3,22.4,53.68,0,0,,0,0,30.4,20.6,349.5,1027,100,15,119,0.4,1,10,Overcast,cloudy,
"35.9,120.1",2022-11-29T10:00:00,37.7,27,22.2,53.27,0,0,,0,0,30,21.7,347.6,1028,100,15,151,0.5,2,10,Overcast,cloudy,
"35.9,120.1",2022-11-29T11:00:00,38.4,27.9,21.6,50.62,0,0,,0,0,29.8,22.1,345.3,1029,96.9,15,302,1.1,3,10,Overcast,cloudy,
"35.9,120.1",2022-11-29T12:00:00,39.6,29.5,20,44.99,0,0,,0,0,28.6,22.4,346.6,1029,100,15,500,1.8,5,10,Overcast,cloudy,
"35.9,120.1",2022-11-29T13:00:00,40.4,30.4,21.1,45.8,0,0,,0,0,28.2,22.4,340.9,1029,83.6,15,483,1.7,5,10,Partially cloudy,partly-cloudy-day,
"35.9,120.1",2022-11-29T14:00:00,38.7,28,21.6,49.91,0,0,,0,0,28.4,23.5,338.2,1029,100,15,346,1.2,3,10,Overcast,cloudy,
"35.9,120.1",2022-11-29T15:00:00,36.8,25.5,18.2,46.63,0,0,,0,0,30.2,23.3,345.7,1030,78.5,15,243,0.9,2,10,Partially cloudy,partly-cloudy-day,
