name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"35.8,119.65",2022-07-01T00:00:00,70.6,70.6,67.9,91.18,0,0,,0,0,11.9,5.1,125.8,1007,90.9,15,0,,0,10,Overcast,cloudy,remote
"35.8,119.65",2022-07-01T01:00:00,70.4,70.4,68.6,94.03,0,0,,0,0,11.9,4,142.3,1007,96.5,15,0,,0,10,Overcast,cloudy,remote
"35.8,119.65",2022-07-01T02:00:00,72.6,72.6,71.7,97,0,0,,0,0,20.1,2.2,270,1007,4.5,8.1,0,,0,10,Clear,clear-night,54945099999
"35.8,119.65",2022-07-01T03:00:00,70.6,70.6,69.3,95.79,0,0,,0,0,2.9,2.7,151.5,1007,0,15,0,,0,5,Clear,clear-night,remote
"35.8,119.65",2022-07-01T04:00:00,70.2,70.2,69.3,96.97,0,0,rain,0,0,3.6,3.4,160.4,1007,4,7,0,,0,5,Clear,clear-night,remote
"35.8,119.65",2022-07-01T05:00:00,73.7,73.7,73.7,100,0,0,,0,0,15.7,2.2,60,1008.1,49.5,2.5,0,,0,3,Partially cloudy,partly-cloudy-day,54945099999
"35.8,119.65",2022-07-01T06:00:00,71.7,71.7,70.8,96.99,0,0,,0,0,11.9,4,172.5,1008,94.8,9.7,50,0.2,1,3,Overcast,cloudy,remote
"35.8,119.65",2022-07-01T07:00:00,73.5,73.5,72.1,95.26,0,0,rain,0,0,13,6,188,1009,100,1.4,119,0.4,1,10,Overcast,cloudy,remote
"35.8,119.65",2022-07-01T08:00:00,78.5,78.5,75.5,90.36,0,0,,0,0,13.4,4.5,210,1009.1,100,9.3,127,0.5,1,10,Overcast,cloudy,54945099999
"35.8,119.65",2022-07-01T09:00:00,76.9,76.9,73.1,88.14,0,0,,0,0,9.4,6.3,193.7,1009,95,11.1,287,1,3,30,Overcast,cloudy,remote
"35.8,119.65",2022-07-01T10:00:00,80.3,85,73.7,80.2,0,0,,0,0,8.7,6.9,187.3,1009,6.4,11.2,657,2.4,7,30,Clear,clear-day,remote
"35.8,119.65",2022-07-01T11:00:00,83,91.8,76.7,81.37,0,0,,0,0,15.7,8.9,170,1008.7,4.4,6.8,862,3.1,9,30,Clear,clear-day,54945099999
"35.8,119.65",2022-07-01T12:00:00,83.7,90.6,73.8,72.21,0,0,,0,0,11.6,9.8,166.7,1008,6.1,11.4,924,3.3,9,30,Clear,clear-day,remote
"35.8,119.65",2022-07-01T13:00:00,84.5,91.6,73.7,70.14,0,0,,0,0,13.2,11,164.9,1008,23.1,15,930,3.3,9,30,Partially cloudy,partly-cloudy-day,remote
"35.8,119.65",2022-07-01T14:00:00,81.8,89.4,76.7,84.76,0,0,,0,0,15.7,8.9,120,1008.2,0.9,5,877,3.2,9,60,Clear,clear-day,54945099999
"35.8,119.65",2022-07-01T15:00:00,83.4,90.5,74.4,74.39,0,0,,0,0,13.6,11.2,152.5,1008,0.2,15,773,2.8,8,60,Clear,clear-day,remote
"35.8,119.65",2022-07-01T16:00:00,82.1,88.7,74.7,78.43,0,0,,0,0,13,10.7,153.2,1007,1.1,15,621,2.2,6,60,Clear,clear-day,remote
"35.8,119.65",2022-07-01T17:00:00,80,80,77.1,90.96,0,0,,0,0,17.9,8.9,160,1007.5,1.6,9.3,440,1.6,4,60,Clear,clear-day,54945099999
"35.8,119.65",2022-07-01T18:00:00,78.3,78.3,74.2,87.15,0,0,,0,0,13.4,8.7,154.6,1007,2.7,11.8,249,0.9,2,30,Clear,clear-day,remote
"35.8,119.65",2022-07-01T19:00:00,75.6,75.6,73.7,93.59,0,0,,0,0,13.4,6.7,143.8,1008,18.3,15,78,0.3,1,30,Clear,clear-day,remote
"35.8,119.65",2022-07-01T20:00:00,77.6,77.6,76.4,95.91,0,0,,0,0,17.9,4.5,140,1008.3,63.8,9.9,2,0,0,30,Partially cloudy,partly-cloudy-night,54945099999
"35.8,119.65",2022-07-01T21:00:00,74.4,74.4,73.7,97.61,0,0,,0,0,12.3,5.4,127.4,1009,79.9,5.3,0,,0,30,Partially cloudy,partly-cloudy-night,remote
"35.8,119.65",2022-07-01T22:00:00,74.4,74.4,73.3,96.44,0,0,,0,0,13.2,7.2,135,1009,85.3,13.1,0,,0,8,Partially cloudy,partly-cloudy-night,remote
"35.8,119.65",2022-07-01T23:00:00,77.6,77.6,77.3,98.82,0.079,100,rain,0,0,17.9,0,152.2,1009,77.7,5,0,,0,30,"Rain, Partially cloudy",rain,54945099999
