name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"35.8,119.65",2022-11-28T00:00:00,56.4,56.4,55.3,96.16,0,0,,0,0,3.4,3.4,157.5,1012,100,15,0,,0,10,Overcast,cloudy,remote
"35.8,119.65",2022-11-28T01:00:00,57.3,57.3,56,95.55,0,0,,0,0,4,3.6,139.6,1011,100,15,0,,0,10,Overcast,cloudy,remote
"35.8,119.65",2022-11-28T02:00:00,57.6,57.6,56.4,95.56,0,0,,0,0,5.6,4.3,166,1011,100,15,0,,0,10,Overcast,cloudy,remote
"35.8,119.65",2022-11-28T03:00:00,57.8,57.8,56.4,94.94,0,0,,0,0,12.3,5.6,174.8,1011,100,15,0,,0,10,Overcast,cloudy,remote
"35.8,119.65",2022-11-28T04:00:00,57.3,57.3,55.7,94.31,0,0,,0,0,4.7,4,186.7,1010,100,15,0,,0,10,Overcast,cloudy,remote
"35.8,119.65",2022-11-28T05:00:00,57.3,57.3,55.5,93.7,0,0,,0,0,4,3.1,181.8,1010,100,15,0,,0,10,Overcast,cloudy,remote
"35.8,119.65",2022-11-28T06:00:00,57.3,57.3,55.3,93.09,0,0,,0,0,3.6,3.1,223.2,1010,96.1,15,0,,0,10,Overcast,cloudy,remote
"35.8,119.65",2022-11-28T07:00:00,57.1,57.1,54.9,92.48,0.004,100,rain,0,0,2.7,2.7,252.3,1011,100,15,0,,0,10,"Rain, Overcast",rain,remote
"35.8,119.65",2022-11-28T08:00:00,57.8,57.8,55.1,90.71,0,0,rain,0,0,2.2,2,297.1,1011,100,12.9,12,0,0,10,Overcast,cloudy,remote
"35.8,119.65",2022-11-28T09:00:00,57.5,57.5,55.1,91.89,0.012,95.2,rain,0,0,4.3,3.6,332,1011,100,12.9,9,0,0,10,"Rain, Overcast",rain,
"35.8,119.65",2022-11-28T10:00:00,57.8,57.8,55.1,90.71,0.012,95.2,rain,0,0,9.8,7.2,337.3,1012,100,11.8,40,0.1,0,10,"Rain, Overcast",rain,
"35.8,119.65",2022-11-28T11:00:00,54.6,54.6,52.6,93.01,0.063,95.2,rain,0,0,17.7,12.3,342.8,1012,100,10.9,10,0,0,10,"Rain, Overcast",rain,
"35.8,119.65",2022-11-28T12:00:00,53,53,50.8,92.35,0.031,95.2,rain,0,0,19.7,12.1,336.7,1012,100,13.5,28,0.1,0,10,"Rain, Overcast",rain,
"35.8,119.65",2022-11-28T13:00:00,52.6,52.6,50.1,91.11,0.02,95.2,rain,0,0,23,13.4,332.9,1012,100,11.4,39,0.1,0,10,"Rain, Overcast",rain,
