name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"36.8,120.12",2022-11-28T00:00:00,60.7,60.7,58.9,93.79,0.016,100,rain,0,0,9.8,6.7,160,1011,100,6.2,0,,0,10,"Rain, Overcast",rain,ZSQD
"36.8,120.12",2022-11-28T01:00:00,60.7,60.7,58.9,93.79,0,0,,0,0,10.5,11.2,150,1010,50,4.3,0,,0,10,Partially cloudy,partly-cloudy-night,ZSQD
"36.8,120.12",2022-11-28T02:00:00,60.7,60.7,58.9,93.79,0,0,,0,0,10.1,11.2,150,1010,100,4.3,0,,0,10,Overcast,cloudy,ZSQD
"36.8,120.12",2022-11-28T03:00:00,58.9,58.9,58.9,100,0,0,,0,0,14.3,4.5,200,1011,50,4.3,0,,0,10,Partially cloudy,partly-cloudy-night,ZSQD
"36.8,120.12",2022-11-28T04:00:00,57.1,57.1,57.1,100,0,0,,0,0,6.9,2.2,180,1010,88,3.1,0,,0,10,Partially cloudy,partly-cloudy-night,ZSQD
"36.8,120.12",2022-11-28T05:00:00,57.1,57.1,57.1,100,0,0,,0,0,7.2,4.5,150,1010,88,3.1,0,,0,10,Partially cloudy,partly-cloudy-night,ZSQD
"36.8,120.12",2022-11-28T06:00:00,57.1,57.1,57.1,100,0,0,,0,0,11.4,2.2,180,1010,88,3.1,0,,0,10,Partially cloudy,partly-cloudy-night,ZSQD
"36.8,120.12",2022-11-28T07:00:00,57.1,57.1,57.1,100,0,0,,0,0,6.9,2.2,160,1010,88,1.9,0,,0,10,Partially cloudy,partly-cloudy-day,ZSQD
"36.8,120.12",2022-11-28T08:00:00,58.9,58.9,58.9,100,0,0,,0,0,1.1,6.7,330,1011,88,1.2,34,0.1,0,10,Partially cloudy,partly-cloudy-day,ZSQD
"36.8,120.12",2022-11-28T09:00:00,55.8,55.8,54.6,95.53,0.028,95.2,rain,0,0,11,7.4,287.4,1012,100,2.9,24,0.1,0,10,"Rain, Overcast",rain,
"36.8,120.12",2022-11-28T10:00:00,53.7,53.7,52.2,94.85,0.055,95.2,rain,0,0,18.6,12.8,297,1012,100,4.7,21,0.1,0,10,"Rain, Overcast",rain,
"36.8,120.12",2022-11-28T11:00:00,53,53,51.3,94.21,0.134,95.2,rain,0,0,17.7,10.1,311.4,1012,100,5.2,7,0,0,10,"Rain, Overcast",rain,
"36.8,120.12",2022-11-28T12:00:00,54.1,54.1,51.9,92.38,0.028,95.2,rain,0,0,19.9,11.6,313.6,1012,100,11.4,73,0.3,1,10,"Rain, Overcast",rain,
"36.8,120.12",2022-11-28T13:00:00,54.8,54.8,51.7,89.39,0.016,95.2,rain,0,0,19,12.1,322.6,1012,100,15,152,0.5,2,10,"Rain, Overcast",rain,
"36.8,120.12",2022-11-28T14:00:00,53,53,49.9,89.31,0.024,95.2,rain,0,0,21.3,12.1,342.2,1012,100,12.9,33,0.1,0,10,"Rain, Overcast",rain,
"36.8,120.12",2022-11-28T15:00:00,52.1,52.1,48.3,86.9,0,0,,0,0,22.4,11.4,350.6,1013,100,15,16,0.1,0,10,Overcast,cloudy,
"36.8,120.12",2022-11-28T16:00:00,50.3,50.3,45.8,84.47,0,0,,0,0,24.6,12.3,350,1014,100,15,9,0,0,10,Overcast,cloudy,
"36.8,120.12",2022-11-28T17:00:00,48.6,42.8,43.6,82.65,0,0,,0,0,29.5,15.7,349.2,1015,100,15,4,0,0,10,Overcast,cloudy,
"36.8,120.12",2022-11-28T18:00:00,47.9,42.2,42.7,82.03,0,0,,0,0,29.8,14.3,350.9,1017,100,15,0,,0,10,Overcast,cloudy,
"36.8,120.12",2022-11-28T19:00:00,47.2,41.3,42,81.98,0,0,,0,0,29.1,14.1,348.6,1018,100,15,0,,0,10,Overcast,cloudy,
"36.8,120.12",2022-11-28T20:00:00,47,40.6,41.1,79.72,0,0,,0,0,30,16.1,357,1017,100,15,0,,0,10,Overcast,cloudy,
"36.8,120.12",2022-11-28T21:00:00,47,41.5,40.7,78.62,0,0,,0,0,26.2,12.5,352.1,1019,100,15,0,,0,10,Overcast,cloudy,
"36.8,120.12",2022-11-28T22:00:00,45.9,40.4,40,79.63,0,0,,0,0,28.6,11.6,346.7,1018,100,15,0,,0,10,Overcast,cloudy,
"36.8,120.12",2022-11-28T23:00:00,46.1,40.4,39.3,76.91,0,0,,0,0,29.1,12.5,342,1019,100,15,0,,0,10,Overcast,cloudy,
"36.8,120.12",2022-11-29T00:00:00,46.1,40.4,38.9,75.83,0,0,,0,0,27.5,12.5,348.7,1019,100,15,0,,0,10,Overcast,cloudy,
"36.8,120.12",2022-11-29T01:00:00,45.9,40,39.1,76.89,0,0,,0,0,27.3,13.2,342,1021,100,15,0,,0,10,Overcast,cloudy,
"36.8,120.12",2022-11-29T02:00:00,45.9,39.8,39.3,77.43,0,0,,0,0,26.8,13.9,352,1021,100,15,0,,0,10,Overcast,cloudy,
"36.8,120.12",2022-11-29T03:00:00,46.1,38.5,36.8,69.67,0,14.3,,0,0,29.1,19.9,346.2,1021,96.2,15,0,,0,10,Overcast,cloudy,
"36.8,120.12",2022-11-29T04:00:00,41.3,31.4,24.7,51.46,0,14.3,,0,0,35.3,23.5,352,1022,100,15,0,,0,10,Overcast,cloudy,
