name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"36.9,119.7",2022-07-01T00:00:00,71.7,71.7,67.6,86.81,0,0,,0,0,7.6,4,229.9,1007,100,15,0,,0,10,Overcast,cloudy,remote
"36.9,119.7",2022-07-01T01:00:00,71.5,71.5,66.5,84.14,0,0,,0,0,6.7,4.5,187,1007,100,15,0,,0,10,Overcast,cloudy,remote
"36.9,119.7",2022-07-01T02:00:00,71.9,71.9,70.4,95.23,0,0,,0,0,33.6,2.2,110,1007.2,100,3.7,0,,0,10,Overcast,cloudy,54843099999
"36.9,119.7",2022-07-01T03:00:00,71,71,67.4,88.41,0,0,,0,0,9.8,5.1,164,1007,98.2,15,0,,0,10,Overcast,cloudy,remote
"36.9,119.7",2022-07-01T04:00:00,70.8,70.8,67.6,89.5,0,0,,0,0,9.6,5.1,171.5,1007,5,15,0,,0,3,Clear,clear-night,remote
"36.9,119.7",2022-07-01T05:00:00,71.3,71.3,71,98.79,0,0,,0,0,17.9,2.2,140,1007.4,1,1.9,1,0,0,10,Clear,clear-day,54843099999
"36.9,119.7",2022-07-01T06:00:00,71.3,71.3,67.4,87.33,0,0,,0,0,12.8,6.7,145.4,1008,7.1,15,63,0.2,1,10,Clear,clear-day,remote
"36.9,119.7",2022-07-01T07:00:00,74.4,74.4,67.9,80.26,0,0,,0,0,11.2,7.8,153.9,1008,29.2,15,228,0.8,2,3,Partially cloudy,partly-cloudy-day,remote
"36.9,119.7",2022-07-01T08:00:00,78,78,72.8,84.02,0,0,,0,0,13.4,6.7,180,1008.4,100,4.3,413,1.5,4,10,Overcast,cloudy,54843099999
"36.9,119.7",2022-07-01T09:00:00,79.8,79.8,70.8,74.06,0,0,,0,0,10.3,8.5,171.5,1008,100,15,538,1.9,5,10,Overcast,cloudy,remote
"36.9,119.7",2022-07-01T10:00:00,81.9,86.4,71.3,70.3,0,0,,0,0,8.9,7.4,171.8,1008,31.7,15,633,2.3,6,30,Partially cloudy,partly-cloudy-day,remote
"36.9,119.7",2022-07-01T11:00:00,86.3,93.1,72.6,63.85,0,0,,0,0,11.2,4.5,160,1008.6,1.5,9.9,854,3.1,9,30,Clear,clear-day,54843099999
"36.9,119.7",2022-07-01T12:00:00,87.2,93.8,72.1,60.92,0,0,,0,0,9.4,7.6,177.2,1007,0.2,15,920,3.3,9,30,Clear,clear-day,remote
"36.9,119.7",2022-07-01T13:00:00,88.6,95.6,72.1,58.21,0,0,,0,0,11.6,9.8,185.8,1007,1,15,923,3.3,9,30,Clear,clear-day,remote
"36.9,119.7",2022-07-01T14:00:00,89.9,96.2,71,53.93,0,0,,0,0,11.2,4.5,200,1006.9,27.5,18,868,3.1,9,60,Partially cloudy,partly-cloudy-day,54843099999
"36.9,119.7",2022-07-01T15:00:00,89.7,96.5,71.5,55.24,0,0,,0,0,13.9,11.9,185,1006,61.9,15,759,2.7,8,60,Partially cloudy,partly-cloudy-day,remote
"36.9,119.7",2022-07-01T16:00:00,86.6,93.3,72.2,62.36,0,0,,0,0,14.3,11,175.5,1006,26.8,9.9,401,1.4,4,60,Partially cloudy,partly-cloudy-day,remote
"36.9,119.7",2022-07-01T17:00:00,91.1,97.2,70.4,50.9,0,0,,0,0,11.2,4.5,260,1005.9,12.9,18.6,406,1.5,4,60,Clear,clear-day,54843099999
"36.9,119.7",2022-07-01T18:00:00,84.3,91.9,74.4,72.27,0,0,,0,0,14.3,8.7,160.5,1006,17.7,15,237,0.9,2,60,Clear,clear-day,remote
"36.9,119.7",2022-07-01T19:00:00,80.3,84.8,73.1,78.76,0,0,,0,0,19.9,11.6,157.3,1007,11,15,76,0.3,1,60,Clear,clear-day,remote
"36.9,119.7",2022-07-01T20:00:00,71.9,71.9,69,90.66,1.929,100,rain,0,0,29.1,4.5,60,1009,49.8,18.6,3,0,0,60,"Rain, Partially cloudy",rain,54843099999
"36.9,119.7",2022-07-01T21:00:00,77.8,77.8,73.8,87.65,0,0,rain,0,0,22.1,11.6,149.6,1008,28.2,7.4,0,,0,60,Partially cloudy,partly-cloudy-night,remote
"36.9,119.7",2022-07-01T22:00:00,76.6,76.6,73.8,91.38,0,0,,0,0,20.6,11.2,144.9,1008,0,15,0,,0,60,Clear,clear-night,remote
"36.9,119.7",2022-07-01T23:00:00,75.8,75.8,73.7,93.03,0.591,100,rain,0,0,29.1,2.2,90,1008.1,11.3,5.6,0,,0,30,Rain,rain,54843099999
"36.9,119.7",2022-07-02T00:00:00,74.9,74.9,73.5,95.29,0,0,,0,0,21,11.9,145.8,1008,28.9,15,0,,0,30,Partially cloudy,partly-cloudy-night,remote
"36.9,119.7",2022-07-02T01:00:00,74.7,74.7,73.1,94.71,0.004,100,rain,0,0,21.9,11.9,151.7,1008,89.8,15,0,,0,30,"Rain, Partially cloudy",rain,remote
"36.9,119.7",2022-07-02T02:00:00,76.4,76.4,72.2,87.05,0,0,,0,0,29.1,4.5,150,1008.5,26,12.4,0,,0,30,Partially cloudy,partly-cloudy-night,54843099999
"36.9,119.7",2022-07-02T03:00:00,74.2,74.2,72.9,95.85,0,0,,0,0,14.3,8.3,146.1,1008,13.9,15,0,,0,30,Clear,clear-night,remote
"36.9,119.7",2022-07-02T04:00:00,74,74,72.9,96.44,0.008,100,rain,0,0,13.9,8.1,149.3,1008,18.4,15,0,,0,30,Rain,rain,remote
"36.9,119.7",2022-07-02T05:00:00,74,74,71,90.19,0,0,,0,0,29.1,2.2,170,1008.6,14.9,9.9,1,0,0,30,Clear,clear-day,54843099999
"36.9,119.7",2022-07-02T06:00:00,75.3,75.3,73.5,94.15,0,0,,0,0,10.3,6.9,150.9,1008,13.3,15,60,0.2,1,30,Clear,clear-day,remote
"36.9,119.7",2022-07-02T07:00:00,77.8,77.8,73.8,87.65,0,0,,0,0,10.3,8.7,151.7,1008,5.4,15,221,0.8,2,60,Clear,clear-day,remote
"36.9,119.7",2022-07-02T08:00:00,79.4,79.4,72.8,80.14,0,0,,0,0,15.7,4.5,170,1009.1,0.3,14.9,409,1.5,4,60,Clear,clear-day,54843099999
"36.9,119.7",2022-07-02T09:00:00,83.2,90.2,74.4,74.83,0,0,,0,0,11,11,157.2,1008,0.2,15,591,2.1,6,60,Clear,clear-day,remote
"36.9,119.7",2022-07-02T10:00:00,85.2,93.4,74.6,70.63,0.02,100,rain,0,0,11.4,11.2,151.1,1008,0,15,744,2.7,7,60,Rain,rain,remote
"36.9,119.7",2022-07-02T11:00:00,86.6,93,71.9,61.6,0,0,,0,0,13.4,4.5,160,1009.1,0,18.6,857,3.1,9,60,Clear,clear-day,54843099999
"36.9,119.7",2022-07-02T12:00:00,88.8,97.6,73.8,61.49,0.02,100,rain,0,0,11.6,11,176.1,1008,14.2,7.8,915,3.3,9,60,Rain,rain,remote
"36.9,119.7",2022-07-02T13:00:00,89.7,98.4,73.5,59.06,0.024,100,rain,0,0,11.4,10.1,178.7,1007,19.9,15,916,3.3,9,60,Rain,rain,remote
"36.9,119.7",2022-07-02T14:00:00,89.9,101.9,76.2,64.27,0,0,,0,0,15.7,8.9,120,1007.5,18.9,18.6,865,3.1,9,60,Clear,clear-day,54843099999
