name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"36.3,120.0",2022-11-28T00:00:00,60.7,60.7,58.9,93.79,0,0,,0,0,3.4,6.7,160,1011,100,6.2,0,,0,10,Overcast,cloudy,ZSQD
"36.3,120.0",2022-11-28T01:00:00,60.7,60.7,58.9,93.79,0,0,,0,0,4,11.2,150,1010,50,4.3,0,,0,10,Partially cloudy,partly-cloudy-night,ZSQD
"36.3,120.0",2022-11-28T02:00:00,60.7,60.7,58.9,93.79,0,0,,0,0,7.6,11.2,150,1010,100,4.3,0,,0,10,Overcast,cloudy,ZSQD
"36.3,120.0",2022-11-28T03:00:00,58.9,58.9,58.9,100,0,0,,0,0,14.8,4.5,200,1011,50,4.3,0,,0,3,Partially cloudy,partly-cloudy-night,ZSQD
"36.3,120.0",2022-11-28T04:00:00,57.1,57.1,57.1,100,0,0,,0,0,5.6,2.2,180,1010,88,3.1,0,,0,10,Partially cloudy,partly-cloudy-night,ZSQD
"36.3,120.0",2022-11-28T05:00:00,57.1,57.1,57.1,100,0,0,,0,0,5.8,4.5,150,1010,88,3.1,0,,0,10,Partially cloudy,partly-cloudy-night,ZSQD
"36.3,120.0",2022-11-28T06:00:00,57.1,57.1,57.1,100,0,0,,0,0,4.3,2.2,180,1010,88,3.1,0,,0,10,Partially cloudy,partly-cloudy-night,ZSQD
"36.3,120.0",2022-11-28T07:00:00,57.1,57.1,57.1,100,0,0,,0,0,5.6,2.2,160,1010,88,1.9,0,,0,10,Partially cloudy,partly-cloudy-day,ZSQD
"36.3,120.0",2022-11-28T08:00:00,58.9,58.9,58.9,100,0,0,,0,0,7.8,6.7,330,1011,88,1.2,42,0.2,0,10,Partially cloudy,partly-cloudy-day,ZSQD
"36.3,120.0",2022-11-28T09:00:00,57.5,57.5,54.9,91.29,0,95.2,rain,0,0,5.4,4.3,331.3,1011,100,15,66,0.2,1,10,"Rain, Overcast",rain,
"36.3,120.0",2022-11-28T10:00:00,55.8,55.8,54.2,94.28,0.02,95.2,rain,0,0,16.3,11.4,309.3,1012,100,4.2,17,0.1,0,10,"Rain, Overcast",rain,
"36.3,120.0",2022-11-28T11:00:00,52.8,52.8,51,93.58,0.067,95.2,rain,0,0,15.7,9.6,319.5,1012,100,5,4,0,0,10,"Rain, Overcast",rain,
"36.3,120.0",2022-11-28T12:00:00,52.6,52.6,51.2,94.83,0.122,95.2,rain,0,0,16.8,9.4,314.5,1012,100,9.3,6,0,0,10,"Rain, Overcast",rain,
"36.3,120.0",2022-11-28T13:00:00,52.8,52.8,51.2,94.21,0.047,95.2,rain,0,0,21.5,11.4,317.6,1012,100,15,12,0,0,10,"Rain, Overcast",rain,
"36.3,120.0",2022-11-28T14:00:00,53,53,51.2,93.59,0.012,95.2,rain,0,0,22.8,12.3,323.7,1012,100,12.9,16,0.1,0,10,"Rain, Overcast",rain,
"36.3,120.0",2022-11-28T15:00:00,52.8,52.8,50.3,91.12,0.02,28.6,rain,0,0,23.5,13,336.1,1012,100,15,8,0,0,10,Overcast,cloudy,
"36.3,120.0",2022-11-28T16:00:00,52.1,52.1,48.8,88.68,0.004,28.6,rain,0,0,25.9,15.7,337.2,1013,100,15,8,0,0,10,Overcast,cloudy,
"36.3,120.0",2022-11-28T17:00:00,50.1,50.1,46.5,87.39,0,28.6,,0,0,30.4,19.2,336.6,1015,100,15,4,0,0,10,Overcast,cloudy,
"36.3,120.0",2022-11-28T18:00:00,49.2,43.1,44.7,84.41,0,28.6,,0,0,31.1,17.2,344.9,1017,100,15,0,,0,10,Overcast,cloudy,
"36.3,120.0",2022-11-28T19:00:00,48.5,42.4,43.6,83.21,0,28.6,,0,0,31.5,16.3,353.9,1017,100,15,0,,0,10,Overcast,cloudy,
"36.3,120.0",2022-11-28T20:00:00,47.6,41.5,42.7,83.15,0,28.6,,0,0,30.9,15.2,349,1017,100,15,0,,0,10,Overcast,cloudy,
"36.3,120.0",2022-11-28T21:00:00,47.6,41,41.8,80.32,0,0,,0,0,27.7,17.2,347,1019,100,15,0,,0,10,Overcast,cloudy,
"36.3,120.0",2022-11-28T22:00:00,47.4,41.2,41.1,78.65,0,0,,0,0,30.6,15.2,353.7,1018,100,15,0,,0,10,Overcast,cloudy,
"36.3,120.0",2022-11-28T23:00:00,46.7,40.6,40.9,80.25,0,0,,0,0,30.4,14.1,342.9,1019,100,15,0,,0,10,Overcast,cloudy,
"36.3,120.0",2022-11-29T00:00:00,46.5,39.8,40.4,79.12,0,0,,0,0,33.3,16.6,350.8,1018,100,15,0,,0,10,Overcast,cloudy,
"36.3,120.0",2022-11-29T01:00:00,46.3,39.9,40.2,79.11,0,0,,0,0,30.2,15.2,347.9,1020,100,15,0,,0,10,Overcast,cloudy,
"36.3,120.0",2022-11-29T02:00:00,46.5,40.4,40.4,79.12,0,0,,0,0,27.3,14.1,348.9,1021,100,15,0,,0,10,Overcast,cloudy,
"36.3,120.0",2022-11-29T03:00:00,46.1,40.2,40.4,80.21,0,0,,0,0,26.4,13.2,352.7,1021,100,15,0,,0,10,Overcast,cloudy,
"36.3,120.0",2022-11-29T04:00:00,45.2,36.9,35.7,69.08,0,0,,0,0,30,21.9,345.6,1022,100,15,0,,0,10,Overcast,cloudy,
"36.3,120.0",2022-11-29T05:00:00,41.3,31.6,25.8,53.82,0,0,,0,0,34.4,22.4,347.8,1024,100,15,0,,0,10,Overcast,cloudy,
"36.3,120.0",2022-11-29T06:00:00,38.7,28.2,22.2,51.06,0,0,,0,0,33.1,22.6,346.8,1025,100,15,0,,0,10,Overcast,cloudy,
"36.3,120.0",2022-11-29T07:00:00,37.5,26.9,21.8,52.84,0,0,,0,0,33.3,21,342.9,1026,100,15,0,,0,10,Overcast,cloudy,
"36.3,120.0",2022-11-29T08:00:00,37.3,27,21.8,53.21,0,0,,0,0,29.5,19.7,342.4,1027,100,15,49,0.2,0,10,Overcast,cloudy,
"36.3,120.0",2022-11-29T09:00:00,38.6,28.7,22.5,52.21,0,4.8,,0,0,28.6,19.5,341.6,1028,100,15,142,0.5,1,10,Overcast,cloudy,
"36.3,120.0",2022-11-29T10:00:00,38,27.4,21.8,51.73,0,4.8,,0,0,27.7,21.9,339.7,1029,100,15,155,0.6,2,10,Overcast,cloudy,
"36.3,120.0",2022-11-29T11:00:00,39.1,28.9,20.9,47.74,0,4.8,,0,0,28,21.9,342.1,1029,59.3,15,334,1.2,3,10,Partially cloudy,partly-cloudy-day,
"36.3,120.0",2022-11-29T12:00:00,40.5,31.1,20.4,44.12,0,4.8,,0,0,26.6,20.6,341.4,1029,98.6,15,509,1.8,5,10,Overcast,cloudy,
"36.3,120.0",2022-11-29T13:00:00,40.7,30.7,21.8,46.57,0,4.8,,0,0,27.5,23.5,335.8,1029,99.8,15,488,1.8,5,10,Overcast,cloudy,
"36.3,120.0",2022-11-29T14:00:00,38.4,27.6,20.2,47.62,0,4.8,,0,0,28.4,23.3,339.2,1030,100,15,296,1.1,3,10,Overcast,cloudy,
"36.3,120.0",2022-11-29T15:00:00,36.6,25.5,17.7,45.89,0,0,,0,0,27.7,21.9,342.7,1031,98.1,15,251,0.9,3,10,Overcast,cloudy,
"36.3,120.0",2022-11-29T16:00:00,34.1,22.4,17.7,50.71,0,0,,0,0,30.6,21.3,342,1032,96.9,15,103,0.4,1,10,Overcast,cloudy,
"36.3,120.0",2022-11-29T17:00:00,32.6,20.8,15.7,49.31,0,0,,0,0,30.9,19.9,344.1,1033,100,15,18,0.1,0,10,Overcast,cloudy,
"36.3,120.0",2022-11-29T18:00:00,31.9,20.7,14.1,47.3,0,0,,0,0,30.9,17.2,342.8,1034,100,15,0,,0,10,Overcast,cloudy,
"36.3,120.0",2022-11-29T19:00:00,31.7,19.6,13.4,46.16,0,0,,0,0,30.4,20.1,333.3,1035,81.5,15,0,,0,10,Partially cloudy,partly-cloudy-night,
"36.3,120.0",2022-11-29T20:00:00,30.1,17.5,10.5,43.39,0,0,,0,0,30.6,19.9,333.1,1037,100,15,0,,0,10,Overcast,cloudy,
"36.3,120.0",2022-11-29T21:00:00,29.4,16.8,9,41.89,0,0,,0,0,31.3,19.2,330.5,1037,100,15,0,,0,10,Overcast,cloudy,
"36.3,120.0",2022-11-29T22:00:00,28.7,15.6,7.8,40.77,0,0,,0,0,32.2,20.1,327.4,1038,53.2,15,0,,0,10,Partially cloudy,partly-cloudy-night,
"36.3,120.0",2022-11-29T23:00:00,28.1,14.9,7.6,41.34,0,0,,0,0,31.5,19.9,326.4,1038,100,15,0,,0,10,Overcast,cloudy,
"36.3,120.0",2022-11-30T00:00:00,27.6,14,6.7,40.58,0,0,,0,0,32.9,20.6,327.8,1038,63.3,15,0,,0,10,Partially cloudy,partly-cloudy-night,
"36.3,120.0",2022-11-30T01:00:00,26.3,12.4,5.6,40.69,0,0,,0,0,31.1,20.4,323.8,1039,5,15,0,,0,10,Clear,clear-night,
"36.3,120.0",2022-11-30T02:00:00,26,12.5,6.2,42.33,0,0,,0,0,27.1,18.6,326,1039,98.9,15,0,,0,10,Overcast,cloudy,
