name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"37.1,120.5",2022-11-28T00:00:00,56.7,56.7,55.5,95.54,0.004,100,rain,0,0,23,10.7,143.8,1012,100,8.2,0,,0,10,"Rain, Overcast",rain,remote
"37.1,120.5",2022-11-28T01:00:00,56.6,56.6,55.8,97.43,0.008,100,rain,0,0,20.8,9.4,138.1,1012,100,15,0,,0,10,"Rain, Overcast",rain,remote
"37.1,120.5",2022-11-28T02:00:00,56.9,56.9,56.4,98.07,0,0,,0,0,18.1,9.4,137.1,1011,100,6.3,0,,0,10,Overcast,cloudy,remote
"37.1,120.5",2022-11-28T03:00:00,56.9,56.9,56.4,98.07,0,0,,0,0,13.6,7.2,139.6,1010,100,10.7,0,,0,10,Overcast,cloudy,remote
"37.1,120.5",2022-11-28T04:00:00,56.4,56.4,55.8,98.06,0,0,,0,0,9.2,4.7,194.7,1010,100,14.4,0,,0,10,Overcast,cloudy,remote
"37.1,120.5",2022-11-28T05:00:00,56,56,55.3,97.42,0,0,,0,0,3.1,3.1,233.1,1010,100,15,0,,0,10,Overcast,cloudy,remote
"37.1,120.5",2022-11-28T06:00:00,55.8,55.8,55.1,97.42,0.004,100,rain,0,0,4.3,4,278.7,1011,100,15,0,,0,10,"Rain, Overcast",rain,remote
"37.1,120.5",2022-11-28T07:00:00,56.2,56.2,55.5,97.43,0,0,,0,0,1.8,1.8,308.9,1010,100,15,0,,0,10,Overcast,cloudy,remote
"37.1,120.5",2022-11-28T08:00:00,56.7,56.7,55.8,96.8,0.004,100,rain,0,0,1.1,0.9,284.3,1011,100,15,9,0,0,10,"Rain, Overcast",rain,remote
"37.1,120.5",2022-11-28T09:00:00,56.7,56.7,55.8,96.8,0.004,85.7,rain,0,0,5.4,4.3,230.9,1011,100,15,17,0.1,0,10,"Rain, Overcast",rain,
"37.1,120.5",2022-11-28T10:00:00,56.2,56.2,55.7,98.06,0.079,85.7,rain,0,0,8.5,4.9,288.1,1012,100,5.3,12,0,0,10,"Rain, Overcast",rain,
"37.1,120.5",2022-11-28T11:00:00,56,56,54.4,94.28,0.035,85.7,rain,0,0,13,8.7,299,1011,100,7.3,41,0.1,0,10,"Rain, Overcast",rain,
"37.1,120.5",2022-11-28T12:00:00,54.4,54.4,51.9,91.18,0.051,85.7,rain,0,0,16.8,10.7,307.5,1011,100,12.6,55,0.2,1,10,"Rain, Overcast",rain,
"37.1,120.5",2022-11-28T13:00:00,54.4,54.4,52.1,91.78,0.012,85.7,rain,0,0,18.6,11.2,318.8,1011,100,12.4,78,0.3,1,10,"Rain, Overcast",rain,
"37.1,120.5",2022-11-28T14:00:00,53.3,53.3,50.1,88.73,0.008,85.7,rain,0,0,19,13.2,340.8,1012,100,13.6,69,0.2,1,10,"Rain, Overcast",rain,
"37.1,120.5",2022-11-28T15:00:00,51.3,51.3,47.6,86.86,0.004,0,rain,0,0,22.4,13.6,350.8,1012,97.1,15,31,0.1,0,10,Overcast,cloudy,
"37.1,120.5",2022-11-28T16:00:00,49.5,44.2,45.4,85.59,0,0,,0,0,25.1,14.3,349.5,1014,99.7,15,16,0.1,0,10,Overcast,cloudy,
"37.1,120.5",2022-11-28T17:00:00,47.9,41.2,43.2,83.75,0,0,,0,0,30.4,18.3,350.6,1015,100,15,4,0,0,10,Overcast,cloudy,
"37.1,120.5",2022-11-28T18:00:00,47.2,40.7,42.3,83.12,0,0,,0,0,31.3,16.3,353.1,1016,100,15,0,,0,10,Overcast,cloudy,
"37.1,120.5",2022-11-28T19:00:00,46.7,39.8,41.3,81.37,0,0,,0,0,32,17.2,351.6,1017,100,15,0,,0,10,Overcast,cloudy,
"37.1,120.5",2022-11-28T20:00:00,46.1,38.8,40.2,79.65,0,0,,0,0,32,18.8,356.9,1017,100,15,0,,0,10,Overcast,cloudy,
"37.1,120.5",2022-11-28T21:00:00,46.1,39.6,40,79.09,0,0,,0,0,27.7,15.2,350.6,1018,93.8,15,0,,0,10,Overcast,cloudy,
"37.1,120.5",2022-11-28T22:00:00,44.9,38.3,39.3,80.67,0,0,,0,0,30.2,14.1,346.1,1018,100,15,0,,0,10,Overcast,cloudy,
"37.1,120.5",2022-11-28T23:00:00,44.7,37.7,38.6,78.97,0,0,,0,0,31.3,15.4,343.8,1019,100,15,0,,0,10,Overcast,cloudy,
"37.1,120.5",2022-11-29T00:00:00,44.9,38.4,37.8,76.25,0,0,,0,0,28.9,13.9,349.5,1020,100,15,0,,0,10,Overcast,cloudy,
"37.1,120.5",2022-11-29T01:00:00,44.7,37.6,36.9,74.11,0,0,,0,0,29.8,15.9,352.2,1019,100,15,0,,0,10,Overcast,cloudy,
"37.1,120.5",2022-11-29T02:00:00,44.5,36.8,36.2,72.53,0,0,,0,0,29.3,18.1,355.3,1020,100,15,0,,0,10,Overcast,cloudy,
"37.1,120.5",2022-11-29T03:00:00,44.5,37.1,35.5,70.49,0,9.5,,0,0,27.7,17,359.3,1021,100,15,0,,0,10,Overcast,cloudy,
