name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"36.11,119.7",2022-07-01T00:00:00,75.2,75.2,73.4,94.15,0,0,,0,0,4.9,4.5,130,1007,50,6.2,0,,0,5,Partially cloudy,partly-cloudy-night,"54857099999,ZSQD"
"36.11,119.7",2022-07-01T01:00:00,75.2,75.2,75.2,100,0,0,,0,0,8.9,4.5,140,1007,0,3.7,0,,0,10,Clear,clear-night,"54857099999,ZSQD"
"36.11,119.7",2022-07-01T02:00:00,74.1,74.1,73,96.6,0,0,,0,0,18.8,6.2,186,1007.3,68.8,3.9,0,,0,5,Partially cloudy,partly-cloudy-night,"54857099999,ZSQD,54945099999"
"36.11,119.7",2022-07-01T03:00:00,75.2,75.2,75.2,100,0,0,rain,0,0,8.5,6.7,150,1007,50,3.1,0,,0,10,Partially cloudy,partly-cloudy-night,"54857099999,ZSQD"
"36.11,119.7",2022-07-01T04:00:00,75.2,75.2,75.2,100,0,0,,0,0,4.5,11.2,160,1007,89,4.3,0,,0,5,Partially cloudy,partly-cloudy-night,"54857099999,ZSQD"
"36.11,119.7",2022-07-01T05:00:00,74.2,74.2,74,99.32,0,0,,0,0,17,7.2,114,1007.8,88,4.8,0,,0,5,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD,54945099999"
"36.11,119.7",2022-07-01T06:00:00,75.2,75.2,75.2,100,0,0,rain,0,0,6.7,11.2,160,1008,89,6.2,57,0.2,1,3,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD"
"36.11,119.7",2022-07-01T07:00:00,77,77,75.2,94.19,0,0,,0,0,4.5,11.2,170,1008,89,6.2,161,0.6,2,3,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD"
"36.11,119.7",2022-07-01T08:00:00,77.6,77.6,75.5,93.21,0,0,,0,0,16.1,5.8,186,1008.8,88,6.8,165,0.6,2,10,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD,54945099999"
"36.11,119.7",2022-07-01T09:00:00,82.4,90.9,77,83.79,0,0,,0,0,8.3,8.9,180,1008,89,6.2,249,0.9,2,30,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD"
"36.11,119.7",2022-07-01T10:00:00,84.2,96.1,78.8,83.9,0,0,,0,0,8.3,8.9,150,1008,89,6.2,547,2,5,30,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD"
"36.11,119.7",2022-07-01T11:00:00,81.7,89.4,76.8,85.01,0,0,,0,0,17,8.1,170,1008.8,25,7.3,862,3.1,9,30,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD,54945099999"
"36.11,119.7",2022-07-01T12:00:00,84.2,96.1,78.8,83.9,0,0,,0,0,11.4,13.4,160,1008,27.5,6.2,926,3.3,9,60,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD"
"36.11,119.7",2022-07-01T13:00:00,84.2,94.2,77,79.06,0,0,,0,0,13.4,15.7,160,1008,27.5,6.2,930,3.3,9,60,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD"
"36.11,119.7",2022-07-01T14:00:00,81.6,88.8,76.3,84.07,0,0,,0,0,17,7.6,150,1007.9,25,4.7,877,3.2,9,60,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD,54945099999"
"36.11,119.7",2022-07-01T15:00:00,82.4,90.9,77,83.79,0,0,,0,0,14.5,15.7,150,1007,50,6.2,770,2.8,8,60,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD"
"36.11,119.7",2022-07-01T16:00:00,80.6,87.1,77,88.84,0,0,,0,0,14.5,13.4,160,1007,27.5,6.2,621,2.2,6,60,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD"
"36.11,119.7",2022-07-01T17:00:00,77.9,77.9,76.1,93.99,0,0,,0,0,19.2,8.9,160,1007.7,25,6.3,442,1.6,4,60,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD,54945099999"
"36.11,119.7",2022-07-01T18:00:00,78.8,78.8,77,94.23,0,0,,0,0,16.6,8.9,130,1007,50,6.2,252,0.9,3,60,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD"
"36.11,119.7",2022-07-01T19:00:00,77,77,77,100,0,0,,0,0,16.8,13.4,140,1008,89,6.2,80,0.3,1,60,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD"
"36.11,119.7",2022-07-01T20:00:00,76.5,76.5,75.9,97.83,0,0,,0,0,19.2,4.5,134,1008.5,88,5.5,2,0,0,30,Partially cloudy,partly-cloudy-night,"54857099999,ZSQD,54945099999"
"36.11,119.7",2022-07-01T21:00:00,77,77,77,100,0,0,,0,0,14.5,11.2,150,1009,89,5,0,,0,30,Partially cloudy,partly-cloudy-night,"54857099999,ZSQD"
"36.11,119.7",2022-07-01T22:00:00,77,77,77,100,0,0,,0,0,14.1,4.5,150,1009,89,5.6,0,,0,30,Partially cloudy,partly-cloudy-night,"54857099999,ZSQD"
"36.11,119.7",2022-07-01T23:00:00,75.4,75.4,73.5,93.85,0.036,100,rain,0,0,19.2,5,100,1009.3,88,5,0,,0,30,"Rain, Partially cloudy",rain,"54857099999,ZSQD,54945099999"
"36.11,119.7",2022-07-02T00:00:00,73.4,73.4,71.6,94.11,0,0,,0,0,17,13.4,140,1009,89,6.2,0,,0,8,Partially cloudy,partly-cloudy-night,"54857099999,ZSQD"
"36.11,119.7",2022-07-02T01:00:00,73.4,73.4,71.6,94.11,0,0,,0,0,17.2,8.9,140,1009,50,6.2,0,,0,8,Partially cloudy,partly-cloudy-night,"54857099999,ZSQD"
"36.11,119.7",2022-07-02T02:00:00,72.3,72.3,71.9,98.55,2.046,100,rain,0,0,21,8.9,60,1008.6,50,5,0,,0,8,"Rain, Partially cloudy",rain,"54857099999,ZSQD,54945099999"
"36.11,119.7",2022-07-02T03:00:00,73.4,73.4,71.6,94.11,0,0,,0,0,13.9,13.4,160,1008,40.2,6.2,0,,0,8,Partially cloudy,partly-cloudy-night,"54857099999,ZSQD"
"36.11,119.7",2022-07-02T04:00:00,73.4,73.4,71.6,94.11,0,0,,0,0,11.9,6.7,170,1009,37.9,6.2,0,,0,8,Partially cloudy,partly-cloudy-night,"54857099999,ZSQD"
"36.11,119.7",2022-07-02T05:00:00,70.6,70.6,69.8,97.47,0.162,100,rain,0,0,30.4,8.6,137,1009.8,25,7.7,0,,0,8,"Rain, Partially cloudy",rain,"54857099999,ZSQD,54945099999"
"36.11,119.7",2022-07-02T06:00:00,71.6,71.6,71.6,100,0,0,,0,0,12.1,11.2,160,1010,27.5,6.2,46,0.2,0,8,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD"
"36.11,119.7",2022-07-02T07:00:00,73.4,73.4,71.6,94.11,0,0,,0,0,11.2,15.7,160,1010,50,6.2,189,0.7,2,30,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD"
"36.11,119.7",2022-07-02T08:00:00,75.5,75.5,71.7,88.13,0,0,,0,0,30.4,7.1,124,1010.3,25,14,379,1.4,4,60,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD,54945099999"
"36.11,119.7",2022-07-02T09:00:00,77,77,73.4,88.68,0,0,,0,0,12.1,13.4,160,1009,27.5,6.2,405,1.5,4,60,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD"
"36.11,119.7",2022-07-02T10:00:00,80.6,85.3,73.4,78.78,0,0,,0,0,13.2,13.4,160,1009,27.5,6.2,672,2.4,7,60,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD"
"36.11,119.7",2022-07-02T11:00:00,78.7,78.7,75.2,88.95,0.009,100,rain,0,0,30.4,9.5,144,1010.4,50,10.1,859,3.1,9,60,"Rain, Partially cloudy",rain,"54857099999,ZSQD,54945099999"
"36.11,119.7",2022-07-02T12:00:00,82.4,90.9,77,83.79,0,0,,0,0,14.5,15.7,160,1010,50,6.2,910,3.3,9,30,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD"
"36.11,119.7",2022-07-02T13:00:00,82.4,92.4,78.8,88.92,0,0,,0,0,14.3,15.7,160,1009,50,6.2,926,3.3,9,30,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD"
"36.11,119.7",2022-07-02T14:00:00,78.5,78.5,76.4,93.52,0,0,,0,0,30.4,9.3,156,1009.5,25,8.8,870,3.1,9,60,Partially cloudy,partly-cloudy-day,"54857099999,HPUO,ZSQD,54945099999"
"36.11,119.7",2022-07-02T15:00:00,82.4,92.4,78.8,88.92,0,0,,0,0,14.8,15.7,150,1008,27.5,6.2,746,2.7,7,30,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD"
"36.11,119.7",2022-07-02T16:00:00,80.6,87.1,77,88.84,0,0,,0,0,15,20.1,160,1008,50,6.2,610,2.2,6,30,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD"
"36.11,119.7",2022-07-02T17:00:00,77,77,74.7,92.62,0,0,,0,0,20.6,12.3,132,1008.3,88,9.4,430,1.5,4,30,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD,54945099999"
"36.11,119.7",2022-07-02T18:00:00,77,77,75.2,94.19,0,0,,0,0,17.9,17.9,150,1007,89,6.2,228,0.8,2,10,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD"
"36.11,119.7",2022-07-02T19:00:00,75.2,75.2,75.2,100,0,0,,0,0,21.5,15.7,150,1008,100,6.2,77,0.3,1,3,Overcast,cloudy,"54857099999,ZSQD"
"36.11,119.7",2022-07-02T20:00:00,74.1,74.1,73.2,96.97,0,0,,0,0,19.2,13.7,149,1008.5,100,6.4,3,0,0,3,Overcast,cloudy,"54857099999,HPUO,ZSQD,54945099999"
"36.11,119.7",2022-07-02T21:00:00,75.2,75.2,73.4,94.15,0,0,,0,0,24.6,11.2,160,1009,100,6.2,0,,0,3,Overcast,cloudy,"54857099999,ZSQD"
"36.11,119.7",2022-07-02T22:00:00,75.2,75.2,73.4,94.15,0,0,,0,0,24.8,15.7,160,1009,100,6.2,0,,0,3,Overcast,cloudy,"54857099999,ZSQD"
"36.11,119.7",2022-07-02T23:00:00,74.5,74.5,73.4,96.68,0,0,,0,0,19.2,9.2,140,1009.5,100,5.4,0,,0,3,Overcast,cloudy,"54857099999,ZSQD,54945099999"
"36.11,119.7",2022-07-03T00:00:00,75.2,75.2,73.4,94.15,0,0,,0,0,24.4,8.9,160,1009,89,6.2,0,,0,3,Partially cloudy,partly-cloudy-night,"54857099999,ZSQD"
"36.11,119.7",2022-07-03T01:00:00,75.2,75.2,73.4,94.15,0,0,,0,0,24.4,8.9,160,1009,89,6.2,0,,0,3,Partially cloudy,partly-cloudy-night,"54857099999,ZSQD"
"36.11,119.7",2022-07-03T02:00:00,72.5,72.5,73.2,100,0,0,,0,0,19.2,7.6,145,1008.6,88,5,0,,0,3,Partially cloudy,partly-cloudy-night,"54857099999,HPUO,ZSQD,54945099999"
"36.11,119.7",2022-07-03T03:00:00,75.2,75.2,73.4,94.15,0,0,,0,0,20.8,11.2,140,1008,100,6.2,0,,0,3,Overcast,cloudy,"54857099999,ZSQD"
"36.11,119.7",2022-07-03T04:00:00,75.2,75.2,73.4,94.15,0,0,,0,0,18.6,8.9,140,1007,89,6.2,0,,0,3,Partially cloudy,partly-cloudy-night,"54857099999,ZSQD"
"36.11,119.7",2022-07-03T05:00:00,74.6,74.6,73.4,96.03,0,0,,0,0,17,6.7,122,1008.2,88,5.4,0,,0,10,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD,54945099999"
"36.11,119.7",2022-07-03T06:00:00,75.2,75.2,75.2,100,0,0,,0,0,19.7,8.9,140,1008,89,6.2,32,0.1,0,10,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD"
"36.11,119.7",2022-07-03T07:00:00,77,77,75.2,94.19,0,0,,0,0,17.7,11.2,150,1008,89,6.2,151,0.5,2,10,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD"
"36.11,119.7",2022-07-03T08:00:00,73.3,73.3,74.2,100,0,0,,0,0,17,8.2,104,1008.2,88,7.5,315,1.1,3,10,Partially cloudy,partly-cloudy-day,"54857099999,HPUO,ZSQD,54945099999"
