name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"36.13,119.72",2022-11-28T00:00:00,60.7,60.7,58.9,93.79,0,0,,0,0,6,6.7,160,1011,100,6.2,0,,0,10,Overcast,cloudy,ZSQD
"36.13,119.72",2022-11-28T01:00:00,60.7,60.7,58.9,93.79,0,0,,0,0,6.7,11.2,150,1010,50,4.3,0,,0,10,Partially cloudy,partly-cloudy-night,ZSQD
"36.13,119.72",2022-11-28T02:00:00,60.7,60.7,58.9,93.79,0,0,,0,0,11.9,11.2,150,1010,100,4.3,0,,0,10,Overcast,cloudy,ZSQD
"36.13,119.72",2022-11-28T03:00:00,58.9,58.9,58.9,100,0,0,,0,0,15,4.5,200,1011,50,4.3,0,,0,10,Partially cloudy,partly-cloudy-night,ZSQD
"36.13,119.72",2022-11-28T04:00:00,57.1,57.1,57.1,100,0,0,,0,0,13.4,2.2,180,1010,88,3.1,0,,0,10,Partially cloudy,partly-cloudy-night,ZSQD
"36.13,119.72",2022-11-28T05:00:00,57.1,57.1,57.1,100,0,0,,0,0,7.8,4.5,150,1010,88,3.1,0,,0,10,Partially cloudy,partly-cloudy-night,ZSQD
"36.13,119.72",2022-11-28T06:00:00,57.1,57.1,57.1,100,0,0,,0,0,6.5,2.2,180,1010,88,3.1,0,,0,10,Partially cloudy,partly-cloudy-night,ZSQD
"36.13,119.72",2022-11-28T07:00:00,57.1,57.1,57.1,100,0,0,,0,0,8.1,2.2,160,1010,88,1.9,0,,0,10,Partially cloudy,partly-cloudy-day,ZSQD
"36.13,119.72",2022-11-28T08:00:00,58.9,58.9,58.9,100,0,0,,0,0,6.7,6.7,330,1011,88,1.2,40,0.1,0,10,Partially cloudy,partly-cloudy-day,ZSQD
"36.13,119.72",2022-11-28T09:00:00,56,56,53.3,90.64,0.008,95.2,rain,0,0,8.7,6.9,333,1011,100,13.3,74,0.3,1,10,"Rain, Overcast",rain,
"36.13,119.72",2022-11-28T10:00:00,53.1,53.1,51,92.35,0.039,95.2,rain,0,0,19,12.8,317,1012,100,4.4,25,0.1,0,10,"Rain, Overcast",rain,
"36.13,119.72",2022-11-28T11:00:00,52.1,52.1,50.1,92.94,0.051,95.2,rain,0,0,15.7,8.9,313.7,1012,100,4.9,9,0,0,10,"Rain, Overcast",rain,
"36.13,119.72",2022-11-28T12:00:00,52.4,52.4,50.6,93.57,0.051,95.2,rain,0,0,18.1,9.2,305.5,1012,100,7.4,13,0,0,10,"Rain, Overcast",rain,
"36.13,119.72",2022-11-28T13:00:00,52.1,52.1,50.4,94.19,0.028,95.2,rain,0,0,21.9,11.6,318,1012,100,10.2,14,0.1,0,10,"Rain, Overcast",rain,
"36.13,119.72",2022-11-28T14:00:00,51.7,51.7,50.1,94.18,0.02,95.2,rain,0,0,22.8,11.9,322.4,1012,100,14.5,9,0,0,10,"Rain, Overcast",rain,
"36.13,119.72",2022-11-28T15:00:00,52.2,52.2,49.7,91.1,0.004,38.1,rain,0,0,21.7,12.1,339.9,1013,100,15,10,0,0,10,Overcast,cloudy,
"36.13,119.72",2022-11-28T16:00:00,51,51,47.9,89.23,0.004,38.1,rain,0,0,26.8,16.3,348.2,1014,100,15,12,0,0,10,Overcast,cloudy,
"36.13,119.72",2022-11-28T17:00:00,49.4,42.9,45.4,86.17,0,38.1,,0,0,31.5,19.2,344.5,1015,100,15,2,0,0,10,Overcast,cloudy,
"36.13,119.72",2022-11-28T18:00:00,48.3,41.7,43.8,84.35,0,38.1,,0,0,32.4,18.1,354.5,1017,100,15,0,,0,10,Overcast,cloudy,
"36.13,119.72",2022-11-28T19:00:00,47.7,41.2,43.4,84.9,0,38.1,,0,0,31.8,17.2,352.4,1018,100,15,0,,0,10,Overcast,cloudy,
"36.13,119.72",2022-11-28T20:00:00,47.4,40.8,42.5,83.14,0,38.1,,0,0,31.1,17,348.8,1018,100,15,0,,0,10,Overcast,cloudy,
"36.13,119.72",2022-11-28T21:00:00,47.4,40.7,41.8,80.86,0,0,,0,0,30.4,17.7,355,1018,100,15,0,,0,10,Overcast,cloudy,
"36.13,119.72",2022-11-28T22:00:00,46.8,40.5,41.6,81.95,0,0,,0,0,31.3,15.4,358.8,1018,100,15,0,,0,10,Overcast,cloudy,
"36.13,119.72",2022-11-28T23:00:00,46.5,40.3,41.6,83.07,0,0,,0,0,30.4,14.3,347.8,1020,100,15,0,,0,10,Overcast,cloudy,
"36.13,119.72",2022-11-29T00:00:00,46.7,40.2,42,83.66,0,0,,0,0,32.2,15.7,354.8,1018,100,15,0,,0,10,Overcast,cloudy,
"36.13,119.72",2022-11-29T01:00:00,46.5,40.4,42.2,84.82,0,0,,0,0,28.2,14.1,348.7,1020,100,15,0,,0,10,Overcast,cloudy,
"36.13,119.72",2022-11-29T02:00:00,46.5,40.3,41.8,83.65,0,0,rain,0,0,26.2,14.5,336.5,1021,100,15,0,,0,10,Overcast,cloudy,
"36.13,119.72",2022-11-29T03:00:00,45.6,37.5,35.5,67.66,0,9.5,,0,0,31.3,21.5,343.3,1021,100,15,0,,0,10,Overcast,cloudy,
"36.13,119.72",2022-11-29T04:00:00,42.7,33.4,29.6,59.47,0,9.5,,0,0,36,23,350.4,1022,100,15,0,,0,10,Overcast,cloudy,
"36.13,119.72",2022-11-29T05:00:00,39.8,29.5,24.2,53.2,0,9.5,,0,0,34.4,23.3,349.1,1025,100,15,0,,0,10,Overcast,cloudy,
"36.13,119.72",2022-11-29T06:00:00,37.5,26.7,22,53.24,0,9.5,,0,0,34.2,21.9,352.2,1025,100,15,0,,0,10,Overcast,cloudy,
"36.13,119.72",2022-11-29T07:00:00,36.4,25.3,20.7,52.67,0,9.5,,0,0,33.8,21.9,348.9,1026,100,15,0,,0,10,Overcast,cloudy,
"36.13,119.72",2022-11-29T08:00:00,36.4,25.3,20.6,52.27,0,9.5,,0,0,31.3,21.7,344.9,1028,100,15,41,0.1,0,10,Overcast,cloudy,
"36.13,119.72",2022-11-29T09:00:00,37.1,26.1,20.7,51.2,0,0,,0,0,30.4,22.4,344.9,1029,100,15,169,0.6,2,10,Overcast,cloudy,
"36.13,119.72",2022-11-29T10:00:00,37.1,26,19.3,48.15,0,0,,0,0,29.3,23,345.9,1029,100,15,187,0.7,2,10,Overcast,cloudy,
"36.13,119.72",2022-11-29T11:00:00,38.4,27.9,19.8,46.9,0,0,,0,0,30.9,21.9,344.3,1030,65.4,15,305,1.1,3,10,Partially cloudy,partly-cloudy-day,
"36.13,119.72",2022-11-29T12:00:00,39.1,28.5,18.6,43.2,0,0,,0,0,29.5,23.7,342.7,1030,95.6,15,518,1.9,5,10,Overcast,cloudy,
"36.13,119.72",2022-11-29T13:00:00,38.6,27.6,18.2,43.45,0,0,,0,0,29.3,24.4,340.9,1030,99.4,15,498,1.8,5,10,Overcast,cloudy,
"36.13,119.72",2022-11-29T14:00:00,37.7,26.5,17.1,42.96,0,0,,0,0,29.8,23.7,341.6,1031,100,15,378,1.4,4,10,Overcast,cloudy,
"36.13,119.72",2022-11-29T15:00:00,35.1,23.4,17.3,47.83,0,0,,0,0,31.1,22.8,344.8,1031,100,15,215,0.8,2,10,Overcast,cloudy,
"36.13,119.72",2022-11-29T16:00:00,33.3,21.5,17.5,51.79,0,0,,0,0,31.3,20.8,344.6,1033,83.6,15,105,0.4,1,10,Partially cloudy,partly-cloudy-day,
"36.13,119.72",2022-11-29T17:00:00,31.9,19.8,14.1,47.3,0,0,,0,0,30,20.1,342.9,1034,100,15,19,0.1,0,10,Overcast,cloudy,
"36.13,119.72",2022-11-29T18:00:00,31.5,20.1,12.5,44.69,0,0,,0,0,30,17.7,340.1,1035,92.7,15,0,,0,10,Overcast,cloudy,
"36.13,119.72",2022-11-29T19:00:00,30.3,17.4,10.5,43.07,0,0,,0,0,30.2,21.3,335.8,1036,77.2,15,0,,0,10,Partially cloudy,partly-cloudy-night,
"36.13,119.72",2022-11-29T20:00:00,29.6,17,9,41.59,0,0,,0,0,29.8,19.2,336.1,1037,100,15,0,,0,10,Overcast,cloudy,
"36.13,119.72",2022-11-29T21:00:00,29,16.5,8,40.5,0,0,,0,0,29.5,18.6,334.9,1038,99.1,15,0,,0,10,Overcast,cloudy,
"36.13,119.72",2022-11-29T22:00:00,27.9,15.1,6.5,39.66,0,0,,0,0,32,18.8,330.3,1039,92.1,15,0,,0,10,Overcast,cloudy,
"36.13,119.72",2022-11-29T23:00:00,27,13.6,5.6,39.5,0,0,,0,0,30.9,19.7,327.6,1039,100,15,0,,0,10,Overcast,cloudy,
"36.13,119.72",2022-11-30T00:00:00,26.1,12.1,4,38.07,0,0,,0,0,32.2,20.6,329.7,1039,7.4,15,0,,0,10,Clear,clear-night,
"36.13,119.72",2022-11-30T01:00:00,25.2,10.9,3.1,37.91,0,0,,0,0,31.5,20.6,326.3,1039,0.5,15,0,,0,10,Clear,clear-night,
"36.13,119.72",2022-11-30T02:00:00,24.7,10.4,2.4,37.5,0,0,,0,0,28.6,20.1,326.6,1039,20.8,15,0,,0,10,Partially cloudy,partly-cloudy-night,
