name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"36.053,120.135",2022-11-28T00:00:00,60.7,60.7,58.9,93.79,0,0,,0,,17.4,6.7,160,1011,100,6.2,0,,0,10,Overcast,cloudy,ZSQD
"36.053,120.135",2022-11-28T01:00:00,60.7,60.7,58.9,93.79,0,0,,0,,14.1,11.2,150,1010,50,4.3,0,,0,10,Partially cloudy,partly-cloudy-night,ZSQD
"36.053,120.135",2022-11-28T02:00:00,60.7,60.7,58.9,93.79,0,0,,,,15.7,11.2,150,1010,100,4.3,0,,0,10,Overcast,cloudy,ZSQD
"36.053,120.135",2022-11-28T03:00:00,58.9,58.9,58.9,100,0,0,,0,,17.4,4.5,200,1011,50,4.3,0,,0,10,Partially cloudy,partly-cloudy-night,ZSQD
"36.053,120.135",2022-11-28T04:00:00,57.1,57.1,57.1,100,0,0,,0,,16.1,2.2,180,1010,88,3.1,0,,0,10,Partially cloudy,partly-cloudy-night,ZSQD
"36.053,120.135",2022-11-28T05:00:00,57.1,57.1,57.1,100,0,0,,0,,17,4.5,150,1010,88,3.1,0,,0,10,Partially cloudy,partly-cloudy-night,ZSQD
"36.053,120.135",2022-11-28T06:00:00,57.1,57.1,57.1,100,0,0,,0,,7.6,2.2,180,1010,88,3.1,0,,0,10,Partially cloudy,partly-cloudy-night,ZSQD
"36.053,120.135",2022-11-28T07:00:00,57.1,57.1,57.1,100,0.008,100,rain,0,,5.4,2.2,160,1010,88,1.9,0,,0,10,"Rain, Partially cloudy",rain,ZSQD
"36.053,120.135",2022-11-28T08:00:00,58.9,58.9,58.9,100,0,0,,,,6.3,6.7,330,1011,88,1.2,16,0.1,0,10,Partially cloudy,partly-cloudy-day,ZSQD
"36.053,120.135",2022-11-28T09:00:00,59.1,59.1,56.9,92.54,0.012,100,rain,0,,4.9,4.3,308.3,1011,100,10.5,13,0,0,10,"Rain, Overcast",rain,
"36.053,120.135",2022-11-28T10:00:00,58.4,58.4,56.6,93.73,0.024,100,rain,0,,5.4,5.6,316.1,1011,100,11.1,9,0,0,10,"Rain, Overcast",rain,
"36.053,120.135",2022-11-28T11:00:00,57.1,57.1,55.5,94.31,0.043,100,rain,0,,16.1,15,327.6,1011,100,13.1,22,0.1,0,10,"Rain, Overcast",rain,
"36.053,120.135",2022-11-28T12:00:00,54.8,54.8,53.3,94.88,0.106,100,rain,0,,17,15.2,331.1,1011,100,6.2,15,0.1,0,10,"Rain, Overcast",rain,
"36.053,120.135",2022-11-28T13:00:00,54.2,54.2,52.6,94.24,0.098,100,rain,0,,21.9,18.1,328.7,1011,100,13.7,23,0.1,0,10,"Rain, Overcast",rain,
"36.053,120.135",2022-11-28T14:00:00,54.4,54.4,52.2,92.39,0.016,100,rain,,,24.6,18.8,321.7,1011,100,5.1,160,0.6,2,10,"Rain, Overcast",rain,
"36.053,120.135",2022-11-28T15:00:00,54.4,54.4,52.4,93.01,0.043,57.1,rain,0,,27.3,21.3,326.6,1012,100,8.8,9,0,0,10,"Rain, Overcast",rain,
"36.053,120.135",2022-11-28T16:00:00,54.6,54.6,51.3,88.79,0.016,57.1,rain,0,,30,24.4,331.5,1012,100,15,6,0,0,10,"Rain, Overcast",rain,
"36.053,120.135",2022-11-28T17:00:00,54.4,54.4,50.6,87.03,0,57.1,rain,0,,31.5,26.4,345.1,1013,99.9,15,4,0,0,10,"Rain, Overcast",rain,
"36.053,120.135",2022-11-28T18:00:00,52.4,52.4,47.7,84.04,0.004,57.1,rain,0,,35.6,29.8,342.2,1015,100,15,0,,0,10,"Rain, Overcast",rain,
"36.053,120.135",2022-11-28T19:00:00,51.2,51.2,46.1,82.82,0,57.1,rain,0,,38,30.4,351.6,1016,100,15,0,,0,10,"Rain, Overcast",rain,
"36.053,120.135",2022-11-28T20:00:00,50.4,50.4,45.2,82.21,0,57.1,rain,,,37.1,28.6,357.3,1016,100,15,0,,0,10,"Rain, Overcast",rain,
"36.053,120.135",2022-11-28T21:00:00,50.1,50.1,45,82.75,0,4.8,,0,,34.9,28.6,348.9,1017,100,15,0,,0,10,Overcast,cloudy,
"36.053,120.135",2022-11-28T22:00:00,49.9,42.3,43.8,79.4,0,4.8,,0,,34.9,27.5,353.3,1017,100,15,0,,0,10,Overcast,cloudy,
"36.053,120.135",2022-11-28T23:00:00,49.9,42.5,42.9,76.71,0,4.8,,0,,35.8,26.2,348.8,1018,100,15,0,,0,10,Overcast,cloudy,
"36.053,120.135",2022-11-29T00:00:00,49.7,42.1,42.2,75.12,0,4.8,,0,,38.5,26.8,351.2,1017,100,15,0,,0,10,Overcast,cloudy,
"36.053,120.135",2022-11-29T01:00:00,49.9,42.4,41.4,72.58,0,4.8,,0,,35.8,26.8,346.7,1019,100,15,0,,0,10,Overcast,cloudy,
"36.053,120.135",2022-11-29T02:00:00,49.5,41.8,41.6,74.07,0,4.8,,,,34.9,27.5,346.8,1020,100,15,0,,0,10,Overcast,cloudy,
"36.053,120.135",2022-11-29T03:00:00,49.4,41.6,41.8,75.09,0,4.8,,0,,34.2,27.3,355.8,1020,100,15,0,,0,10,Overcast,cloudy,
"36.053,120.135",2022-11-29T04:00:00,49,41.1,41.6,75.58,0,4.8,rain,0,,34.7,26.8,1,1021,100,15,0,,0,10,Overcast,cloudy,
"36.053,120.135",2022-11-29T05:00:00,48.3,39.4,40.2,73.43,0,4.8,rain,0,,34,32.4,347.7,1022,100,15,0,,0,10,Overcast,wind,
"36.053,120.135",2022-11-29T06:00:00,44.9,34.6,31.2,58.49,0,4.8,,0,,36.7,33.3,347.9,1024,100,15,0,,0,10,Overcast,wind,
"36.053,120.135",2022-11-29T07:00:00,43.2,32.7,29,56.99,0,4.8,,0,,36,31.3,347.7,1024,100,15,0,,0,10,Overcast,wind,
"36.053,120.135",2022-11-29T08:00:00,42.9,32.5,29.2,58.2,0,4.8,,,,33.6,29.5,343.9,1026,100,15,48,0.2,0,10,Overcast,cloudy,
"36.053,120.135",2022-11-29T09:00:00,42.7,32.4,28.7,57.33,0,0,,0,,31.1,28.2,348.1,1027,100,15,119,0.4,1,10,Overcast,cloudy,
"36.053,120.135",2022-11-29T10:00:00,42.5,32.4,28.1,56.46,0,0,,0,,30,27.1,348.2,1028,100,15,181,0.7,2,10,Overcast,cloudy,
"36.053,120.135",2022-11-29T11:00:00,42.5,32.2,27.9,56.05,0,0,,0,,30.6,28.2,345,1028,83.1,15,222,0.8,2,10,Partially cloudy,partly-cloudy-day,
"36.053,120.135",2022-11-29T12:00:00,42.5,32.4,27.2,54.41,0,0,,0,,29.5,27.3,341.9,1028,98.4,15,461,1.7,5,10,Overcast,cloudy,
"36.053,120.135",2022-11-29T13:00:00,43.2,33.5,28.1,54.93,0,0,,0,,28.9,26.4,347.4,1028,61.9,15,490,1.8,5,10,Partially cloudy,partly-cloudy-day,
"36.053,120.135",2022-11-29T14:00:00,42.5,31.8,30.3,61.67,0,0,,,,30.4,30.6,340.4,1029,99.4,15,408,1.5,4,10,Overcast,wind,
"36.053,120.135",2022-11-29T15:00:00,40,28.1,26.9,59.09,0,0,,0,,32.7,32.4,341.5,1030,55.2,14.9,186,0.7,2,10,Partially cloudy,wind,
"36.053,120.135",2022-11-29T16:00:00,38.2,25.4,26.3,61.99,0,0,,0,,34.9,34,342.2,1031,87.5,15,136,0.5,1,10,Partially cloudy,wind,
"36.053,120.135",2022-11-29T17:00:00,36.9,23.8,25.2,62.29,0,0,,0,,36.2,33.1,344,1033,100,15,18,0.1,0,10,Overcast,wind,
"36.053,120.135",2022-11-29T18:00:00,36.4,23.4,23.8,59.92,0,0,,0,,34.4,31.1,347.4,1034,100,15,0,,0,10,Overcast,wind,
"36.053,120.135",2022-11-29T19:00:00,36,23.4,22.5,57.65,0,0,,0,,34.4,28.2,344.4,1035,100,15,0,,0,10,Overcast,cloudy,
"36.053,120.135",2022-11-29T20:00:00,35.3,21.6,22.5,59.32,0,0,,,,35.8,32.7,333.8,1036,100,15,0,,0,10,Overcast,wind,
"36.053,120.135",2022-11-29T21:00:00,34.6,20.8,21.1,57.44,0,0,,0,,36.2,31.8,335.5,1036,100,15,0,,0,10,Overcast,wind,
"36.053,120.135",2022-11-29T22:00:00,33.9,19.7,20.6,57.77,0,0,,0,,38.3,32.2,329.3,1037,99.7,15,0,,0,10,Overcast,wind,
"36.053,120.135",2022-11-29T23:00:00,33.2,18.7,20.2,58.56,0,0,,0,,40,32.4,329.7,1037,100,15,0,,0,10,Overcast,wind,
"36.053,120.135",2022-11-30T00:00:00,32.6,18.1,20.2,59.84,0,0,,0,,38.7,31.8,331.1,1038,18.9,15,0,,0,10,Clear,wind,
"36.053,120.135",2022-11-30T01:00:00,31.7,17.1,19.8,61.1,0,0,,0,,36.9,30.9,329.1,1038,96.3,15,0,,0,10,Overcast,wind,
"36.053,120.135",2022-11-30T02:00:00,31.2,17,20,62.93,0,0,,,,32.9,27.7,337.3,1038,100,15,0,,0,10,Overcast,cloudy,
"36.053,120.135",2022-11-30T03:00:00,30.5,16.4,20,64.79,0,14.3,,0,,30.6,26.2,345.7,1038,99.7,15,0,,0,10,Overcast,cloudy,
"36.053,120.135",2022-11-30T04:00:00,29.6,15.7,21.1,70.36,0,14.3,snow,0,,28.4,23.9,341.6,1038,100,8,0,,0,10,Overcast,cloudy,
"36.053,120.135",2022-11-30T05:00:00,29,15.2,22.5,76.44,0.004,14.3,snow,0,,27.1,23.3,340.2,1039,100,6,0,,0,10,Overcast,cloudy,
"36.053,120.135",2022-11-30T06:00:00,29,15.3,20.6,70.3,0.004,14.3,"rain,snow",0,,25.7,22.6,349.5,1040,100,12.9,0,,0,10,Overcast,cloudy,
"36.053,120.135",2022-11-30T07:00:00,29.2,15.3,19.7,67.16,0,14.3,snow,0,,26.8,23.5,352.6,1040,100,7.5,0,,0,10,Overcast,cloudy,
